long,smiles
TerABT001,Nc1ccccc1S
TerABT004,Nc1ccc(F)cc1S
TerABT007,Nc1cc(Br)ccc1S
TerABT008,Nc1ccc(OC(F)(F)F)cc1S
TerABT009,Cc1ccc(S)c(N)c1
TerABT010,Nc1c(S)ccc2ccccc12
TerABT013,Nc1cc(C(F)(F)F)ccc1S
TerABT017,Nc1ccc(Br)cc1S
TerABT018,Nc1c(F)cc(F)cc1S
TerABT022,CCOc1ccc(N)c(S)c1
TerABT023,Cc1cccc(S)c1N
TerTH001,NNC(=S)c1ccccc1
TerTH002,NNC(=S)c1cccs1
TerTH003,NNC(=S)c1ccno1
TerTH004,COc1ccc(C(=S)NN)cc1
TerTH005,COc1ccc(C(=S)NN)cn1
TerTH006,NNC(=S)c1ccc(N2CCOCC2)cc1
TerTH010,NNC(=S)/C=C/c1ccccc1
TerTH011,CC(C)(C)OC(=O)n1c(C(=S)NN)cc2ccccc21
TerTH013,NNC(=S)c1ccc(C(F)(F)F)cc1
TerTH016,COc1ccccc1C(=S)NN
TerTH018,NNC(=S)c1ccccc1Cl
TerTH019,NNC(=S)c1ccc2c(c1)OCO2
TerTH020,CN(C)c1cccc(C(=S)NN)c1
TerTH021,Cn1nccc1C(=S)NN
TerTH022,Cc1noc(C)c1C(=S)NN
TerTH025,NNC(=S)c1c[nH]cn1
TerTH026,NNC(=S)c1cn[nH]c1
